date,latitude,longitude,total_rainfall_period_mm,max_rain_intensity_mm_h,max_wind_gust_period_ms,interval_code,rain_class_code,wind_class_code
2015-01-01,-21.13305554,-48.84027777,0.0,0.0,1.5,1,0,1
2015-01-01,-21.13305554,-48.84027777,0.0,0.0,3.0,2,0,2
2015-01-01,-21.13305554,-48.84027777,0.0,0.0,9.1,3,0,5
2015-01-01,-21.13305554,-48.84027777,0.0,0.0,10.0,4,0,5
2015-01-01,-23.09972221,-48.94555555,0.0,0.0,5.0,1,0,3
2015-01-01,-23.09972221,-48.94555555,0.0,0.0,5.9,2,0,4
2015-01-01,-23.09972221,-48.94555555,9.0,5.0,11.8,3,2,6
2015-01-01,-23.09972221,-48.94555555,0.2,0.2,7.1,4,1,4
2015-01-01,-22.37083332,-48.55722222,0.0,0.0,4.4,1,0,3
2015-01-01,-22.37083332,-48.55722222,0.0,0.0,3.9,2,0,3
2015-01-01,-22.37083332,-48.55722222,0.0,0.0,10.7,3,0,5
2015-01-01,-22.37083332,-48.55722222,4.2,2.2,11.9,4,1,6
2015-01-01,-24.96305555,-48.41638888,0.0,0.0,3.0,1,0,2
2015-01-01,-24.96305555,-48.41638888,0.0,0.0,5.1,2,0,3
2015-01-01,-24.96305555,-48.41638888,0.2,0.2,9.4,3,1,5
2015-01-01,-24.96305555,-48.41638888,0.0,0.0,5.9,4,0,4
2015-01-01,-20.55888888,-48.54472221,0.0,0.0,1.6,1,0,2
2015-01-01,-20.55888888,-48.54472221,0.2,0.2,3.8,2,1,3
2015-01-01,-20.55888888,-48.54472221,0.0,0.0,9.1,3,0,5
2015-01-01,-20.55888888,-48.54472221,7.6,7.6,13.3,4,2,6
2015-01-01,-23.52333332,-46.86916666,0.0,0.0,5.4,1,0,3
2015-01-01,-23.52333332,-46.86916666,0.0,0.0,4.2,2,0,3
2015-01-01,-23.52333332,-46.86916666,0.0,0.0,11.1,3,0,6
2015-01-01,-23.52333332,-46.86916666,11.0,8.2,17.9,4,2,8
2015-01-01,-22.35805555,-49.02888888,0.0,0.0,3.2,1,0,2
2015-01-01,-22.35805555,-49.02888888,0.0,0.0,3.0,2,0,2
2015-01-01,-22.35805555,-49.02888888,0.4,0.4,9.7,3,1,5
2015-01-01,-22.35805555,-49.02888888,0.0,0.0,8.4,4,0,5
2015-01-01,-22.75027777,-45.60388888,0.6,0.4,7.9,1,1,4
2015-01-01,-22.75027777,-45.60388888,0.0,0.0,2.8,2,0,2
2015-01-01,-22.75027777,-45.60388888,0.0,0.0,11.9,3,0,6
2015-01-01,-22.75027777,-45.60388888,0.2,0.2,14.2,4,1,7
2015-01-01,-21.77972221,-47.07972221,0.2,0.2,3.6,1,1,3
2015-01-01,-21.77972221,-47.07972221,0.0,0.0,5.2,2,0,3
2015-01-01,-21.77972221,-47.07972221,0.2,0.2,10.7,3,1,5
2015-01-01,-21.77972221,-47.07972221,0.0,0.0,7.6,4,0,4
2015-01-01,-20.57999999,-47.37999999,0.0,0.0,1.9,1,0,2
2015-01-01,-20.57999999,-47.37999999,0.0,0.0,5.0,2,0,3
2015-01-01,-20.57999999,-47.37999999,0.0,0.0,9.9,3,0,5
2015-01-01,-20.57999999,-47.37999999,0.0,0.0,10.2,4,0,5
2015-01-01,-21.85555555,-48.66666666,0.0,0.0,3.2,1,0,2
2015-01-01,-21.85555555,-48.66666666,0.0,0.0,3.0,2,0,2
2015-01-01,-21.85555555,-48.66666666,0.0,0.0,9.0,3,0,5
2015-01-01,-21.85555555,-48.66666666,0.6,0.6,9.3,4,1,5
2015-01-01,-24.71666666,-47.55,0.0,0.0,6.1,1,0,4
2015-01-01,-24.71666666,-47.55,0.0,0.0,3.3,2,0,2
2015-01-01,-24.71666666,-47.55,0.0,0.0,9.9,3,0,5
2015-01-01,-24.71666666,-47.55,1.0,0.8,19.2,4,1,8
2015-01-01,-23.98138888,-48.88527777,0.0,0.0,8.9,1,0,5
2015-01-01,-23.98138888,-48.88527777,0.0,0.0,3.7,2,0,3
2015-01-01,-23.98138888,-48.88527777,15.4,10.4,20.5,3,3,8
2015-01-01,-23.98138888,-48.88527777,0.0,0.0,5.0,4,0,3
2015-01-01,-22.415,-46.80527777,0.0,0.0,2.5,1,0,2
2015-01-01,-22.415,-46.80527777,0.0,0.0,4.5,2,0,3
2015-01-01,-22.415,-46.80527777,0.0,0.0,8.6,3,0,5
2015-01-01,-22.415,-46.80527777,0.0,0.0,9.8,4,0,5
2015-01-01,-20.35944444,-47.77499999,0.0,0.0,3.3,1,0,2
2015-01-01,-20.35944444,-47.77499999,0.0,0.0,1.8,2,0,2
2015-01-01,-20.35944444,-47.77499999,0.0,0.0,7.0,3,0,4
2015-01-01,-20.35944444,-47.77499999,0.0,0.0,8.1,4,0,5
2015-01-01,-20.165,-50.59499999,0.0,0.0,0.0,1,0,0
2015-01-01,-20.165,-50.59499999,0.0,0.0,0.0,2,0,0
2015-01-01,-20.165,-50.59499999,0.0,0.0,9.4,3,0,5
2015-01-01,-20.165,-50.59499999,0.0,0.0,9.1,4,0,5
2015-01-01,-21.08555555,-49.92055554,0.0,0.0,3.5,1,0,3
2015-01-01,-21.08555555,-49.92055554,0.0,0.0,4.0,2,0,3
2015-01-01,-21.08555555,-49.92055554,0.0,0.0,10.0,3,0,5
2015-01-01,-21.08555555,-49.92055554,2.8,2.8,19.7,4,2,8
2015-01-01,-21.66527777,-49.73416666,0.0,0.0,2.4,1,0,2
2015-01-01,-21.66527777,-49.73416666,0.0,0.0,2.8,2,0,2
2015-01-01,-21.66527777,-49.73416666,1.2,1.2,13.0,3,1,6
2015-01-01,-21.66527777,-49.73416666,5.8,5.0,13.0,4,2,6
2015-01-01,-22.9486111,-49.89416666,0.0,0.0,1.6,1,0,2
2015-01-01,-22.9486111,-49.89416666,0.0,0.0,2.2,2,0,2
2015-01-01,-22.9486111,-49.89416666,1.0,1.0,9.5,3,1,5
2015-01-01,-22.9486111,-49.89416666,4.6,4.6,7.8,4,2,4
2015-01-01,-22.70277777,-47.62305554,0.0,0.0,3.7,1,0,3
2015-01-01,-22.70277777,-47.62305554,0.0,0.0,4.3,2,0,3
2015-01-01,-22.70277777,-47.62305554,0.0,0.0,8.7,3,0,5
2015-01-01,-22.70277777,-47.62305554,0.0,0.0,13.8,4,0,6
2015-01-01,-21.33833333,-48.11388888,0.0,0.0,1.5,1,0,1
2015-01-01,-21.33833333,-48.11388888,0.0,0.0,2.8,2,0,2
2015-01-01,-21.33833333,-48.11388888,0.0,0.0,8.9,3,0,5
2015-01-01,-21.33833333,-48.11388888,0.0,0.0,12.1,4,0,6
2015-01-01,-22.11999999,-51.4,0.0,0.0,4.6,1,0,3
2015-01-01,-22.11999999,-51.4,0.0,0.0,6.7,2,0,4
