"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng"
"1037","-23.54562128115268","-46.63929204800168"
"1046","-23.546081127035535","-46.64482029837157"
"1046","-23.54612896641469","-46.64295148361138"
"1041","-23.5443921648681","-46.63949930627844"
"1035","-23.541577961711493","-46.64160722329613"
"1012","-23.547762303364266","-46.63536053788448"
"1047","-23.546273112412678","-46.64122516971552"
"1013","-23.546923208436723","-46.6342636964915"
"1029","-23.543769055769133","-46.63427784085132"
"1011","-23.547639550320632","-46.63603162315495"
"1013","-23.547325128224376","-46.63418378613892"
"1032","-23.53841810407414","-46.634778375266734"
"1014","-23.546435343326205","-46.63383023397196"
"1012","-23.548945985189434","-46.63467113292871"
"1037","-23.545187340816042","-46.63785524104107"
"1046","-23.546081127035535","-46.64482029837157"
"1039","-23.541883009983316","-46.63991946670314"
"1024","-23.541389521053937","-46.629899087812184"
"1009","-23.54693540437998","-46.63658792659698"
"1046","-23.545884279214015","-46.643163191240035"
"1046","-23.545165891770928","-46.643785796266464"
"1020","-23.55223547100232","-46.6284406588955"
"1011","-23.546690486964888","-46.635446958807194"
"1043","-23.546656718016017","-46.64078762115524"
"1050","-23.549773516504185","-46.64559900666509"
"1045","-23.541593762969626","-46.64189378810082"
"1009","-23.545429533441073","-46.63571531432852"
"1007","-23.550392524842728","-46.637301640717844"
"1032","-23.5398418758395","-46.63514797691531"
"1041","-23.543539449073783","-46.64057731057763"
"1005","-23.549819091869107","-46.63560588995324"
"1037","-23.546704599774962","-46.64033633250615"
"1017","-23.55001091199737","-46.63116636914989"
"1046","-23.54532011933758","-46.64406863434122"
"1019","-23.552151883432384","-46.63080224715792"
"1032","-23.540774688874112","-46.63551484303775"
"1017","-23.5492954052167","-46.63207469510652"
"1050","-23.549009406053422","-46.642812281839745"
"1050","-23.548755593946588","-46.642789203733535"
"1027","-23.538301166801343","-46.63076391104508"
"1050","-23.54985418067981","-46.643139396906825"
"1013","-23.547119249235397","-46.634232699405686"
"1033","-23.54032130474925","-46.636394815973325"
"1009","-23.54569153926945","-46.635866061486446"
"1046","-23.546081127035535","-46.64482029837157"
"1050","-23.54874766250217","-46.64239136704376"
"1032","-23.541191476542252","-46.63499346058632"
"1020","-23.552549496537548","-46.63163152553523"
"1006","-23.55052430835593","-46.63669363835193"
"1034","-23.542391627195926","-46.63770927785183"
"1020","-23.552482452132203","-46.62938955675458"
"1047","-23.54660531805078","-46.641982174447385"
"1042","-23.544873598101518","-46.64030309449483"
"1034","-23.542908915344253","-46.63679724785041"
"1047","-23.54599881709849","-46.640834743407"
"1035","-23.540204555658082","-46.644147057043064"
"1027","-23.538670334439413","-46.62934557285476"
"1046","-23.546381972243076","-46.642893706619056"
"1042","-23.545051649171974","-46.64007245239201"
"1040","-23.540316757429707","-46.63735536871719"
"1046","-23.54639669248079","-46.643059340556235"
"1017","-23.54981334999131","-46.63035027254893"
"1026","-23.539494799586286","-46.632843914149746"
"1033","-23.539147179866543","-46.635832364623674"
"1036","-23.541700023861782","-46.64131782056096"
"1046","-23.546081127035535","-46.64482029837157"
"1009","-23.54693540437998","-46.63658792659698"
"1046","-23.546081127035535","-46.64482029837157"
"1047","-23.546774768769353","-46.64251431141433"
"1045","-23.542925000621707","-46.643423947383695"
"1014","-23.547082268784923","-46.63340844117833"
"1048","-23.547448918662464","-46.64016924063704"
"1046","-23.54532011933758","-46.64406863434122"
"1002","-23.54831797807146","-46.63542110199666"
"1033","-23.536156075768947","-46.63565005635056"
"1048","-23.547052131282804","-46.639477959749584"
"1014","-23.546453343326203","-46.63394723397195"
"1031","-23.536864121011018","-46.63349313820771"
"1029","-23.54130569969415","-46.63285261754857"
"1050","-23.54985418067981","-46.643139396906825"
"1032","-23.540774688874112","-46.63551484303775"
"1031","-23.537304315614186","-46.633862438491114"
"1046","-23.546081127035535","-46.64482029837157"
"1022","-23.544986605055076","-46.63345367485142"
"1008","-23.54425493154535","-46.634639135589296"
"1009","-23.546340513734233","-46.636238503202634"
"1048","-23.547448918662464","-46.64016924063704"
"1010","-23.547806958346342","-46.63612181853806"
"1020","-23.552533361648077","-46.62960898251487"
"1036","-23.541700023861782","-46.64131782056096"
"1003","-23.54903244546711","-46.63531311226845"
"1013","-23.547325128224376","-46.63418378613892"
"1045","-23.542303065497162","-46.64280268887412"
"1013","-23.547686322234377","-46.6341397692307"
"1046","-23.546081127035535","-46.64482029837157"
"1046","-23.54612896641469","-46.64295148361138"
"1042","-23.544667372468112","-46.64066942714524"
"1009","-23.546340513734233","-46.636238503202634"
"1050","-23.549107326677785","-46.644104604074144"
"1001","-23.54929199999999","-46.633559478233785"
"1026","-23.53984025062037","-46.6302639919499"
"1014","-23.54631891978764","-46.63343055730286"
"1009","-23.546340513734233","-46.636238503202634"
"1043","-23.545013657510516","-46.641993024150246"
"1050","-23.549107326677785","-46.644104604074144"
"1014","-23.546940580846673","-46.633311921420805"
"1047","-23.546273112412678","-46.64122516971552"
"1032","-23.537019709129215","-46.63435857175824"
"1050","-23.550449207051752","-46.64324288827981"
"1017","-23.548851827918533","-46.63120714847948"
"1015","-23.544826346129778","-46.63086956396899"
"1032","-23.537019709129215","-46.63435857175824"
"1039","-23.5406861987132","-46.638296449218"
"1008","-23.545341492094142","-46.63558668567147"
"1005","-23.549819091869107","-46.63560588995324"
"1046","-23.546252957116764","-46.64521736309942"
"1026","-23.53984025062037","-46.6302639919499"
"1045","-23.542925000621707","-46.643423947383695"
"1024","-23.54186295323959","-46.630035294315356"
"1031","-23.542520789115148","-46.63533516134283"
"1014","-23.54676158651283","-46.63345484931019"
"1038","-23.542679676299098","-46.63819683884986"
"1050","-23.55073674632121","-46.64337116570483"
"1016","-23.548495128772636","-46.633490627676125"
"1049","-23.54530659310986","-46.636994571065735"
"1026","-23.539439503750902","-46.63306386663973"
"1016","-23.549283671100515","-46.631484900917506"
"1010","-23.546851358078364","-46.63554539392908"
"1029","-23.537313618096828","-46.63302994561133"
"1021","-23.54516769470249","-46.632248679583284"
"1018","-23.550218647763327","-46.631879999999995"
"1014","-23.54533828642738","-46.63358224756194"
"1044","-23.545751050233726","-46.64132693574358"
"1034","-23.543343","-46.637777250000006"
"1049","-23.547441373853093","-46.63887208826244"
"1014","-23.547215717345587","-46.63338619272009"
"1050","-23.54985418067981","-46.643139396906825"
"1043","-23.544734636418685","-46.64252349042071"
"1020","-23.552495528997667","-46.632059999999996"
"1046","-23.545317917306143","-46.64397479626647"
"1050","-23.548801662502175","-46.642373367043746"
"1035","-23.54043969776091","-46.64371578005073"
"1036","-23.54131144157196","-46.64188583152521"
"1046","-23.545368575913177","-46.64318283002467"
"1046","-23.54675842186512","-46.64577102790114"
"1048","-23.547154064948906","-46.639547890501504"
"1035","-23.5439473297362","-46.63739650167344"
"1046","-23.54639669248079","-46.643059340556235"
"1044","-23.544896375238064","-46.64201998306312"
"1045","-23.54275397723474","-46.641482026083494"
"1045","-23.542303065497162","-46.64280268887412"
"1049","-23.54530659310986","-46.636994571065735"
"1019","-23.55188848459232","-46.63008934096028"
"1036","-23.540176426812717","-46.64415913591924"
"1043","-23.544734636418685","-46.64252349042071"
"1040","-23.540111706359262","-46.63701681043339"
"1048","-23.547052131282804","-46.639477959749584"
"1020","-23.552499510675812","-46.630781025535214"
"1042","-23.54472059810152","-46.640515568959614"
"1050","-23.548801662502175","-46.642373367043746"
"1033","-23.5369582492354","-46.63581027505907"
"1050","-23.54985418067981","-46.643139396906825"
"1024","-23.541389521053937","-46.629899087812184"
"1007","-23.549610740492827","-46.638350654452076"
"1021","-23.541026814876787","-46.63207068206479"
"1050","-23.54885719288482","-46.64186497030983"
"1044","-23.545626999163286","-46.64140988467314"
"1013","-23.547307871775626","-46.634251279358246"
"1014","-23.545948945322863","-46.63350149901904"
"1037","-23.543883072998984","-46.63807493421437"
"1026","-23.539167607276784","-46.63524162031853"
"1007","-23.548339277829033","-46.63800653788448"
"1032","-23.540505663338884","-46.63541486857297"
"1046","-23.545047855675463","-46.64317276879801"
"1035","-23.54043969776091","-46.64371578005073"
"1022","-23.544497629753593","-46.631461751457095"
"1030","-23.538363904524203","-46.63293009824575"
"1046","-23.545165891770928","-46.643785796266464"
"1037","-23.546156574239742","-46.63988527422235"
"1003","-23.548900652778652","-46.63715701234924"
"1032","-23.541853610425484","-46.63513727589531"
"1042","-23.544667372468112","-46.64066942714524"
"1019","-23.55173348265909","-46.630302710110165"
"1008","-23.545450466558925","-46.63565673674192"
"1003","-23.54904445268046","-46.63518261226844"
"1005","-23.54947149598929","-46.637403877748234"
"1046","-23.54535489177092","-46.644014321801684"
"1042","-23.54472059810152","-46.640515568959614"
"1050","-23.548487627243432","-46.640686594090816"
"1047","-23.545561222863455","-46.640338742166264"
"1050","-23.55073674632121","-46.64337116570483"
"1017","-23.55015993031922","-46.63146540189848"
"1020","-23.552495528997667","-46.632059999999996"
"1005","-23.548758390789974","-46.6384109454671"
"1050","-23.54874766250217","-46.64239136704376"
"1012","-23.54701177397665","-46.634828728075746"
"1030","-23.538399296150907","-46.632887607680814"
"1012","-23.548957805989996","-46.63455515820299"
"1013","-23.546420999999995","-46.63436151110851"
"1046","-23.545047855675463","-46.64317276879801"
"1046","-23.546817419095163","-46.64537999999999"
"1016","-23.54944327061568","-46.63234970260834"
"1035","-23.540204555658082","-46.644147057043064"
"1050","-23.548723167349607","-46.64160299584504"
"1026","-23.539167607276784","-46.63524162031853"
"1006","-23.5502592536788","-46.63635993588781"
"1001","-23.550497706907514","-46.63433817805407"
"1048","-23.546537098534216","-46.63917496696296"
"1020","-23.551854317790983","-46.62920011656761"
"1047","-23.54731074271453","-46.64142302885344"
"1033","-23.542949999999962","-46.63529999999997"
"1032","-23.5398418758395","-46.63514797691531"
"1033","-23.540796722482114","-46.63647342862273"
"1020","-23.55223547100232","-46.6284406588955"
"1002","-23.547416857608706","-46.63636125131286"
"1050","-23.54918735221301","-46.644194604074144"
"1009","-23.546340513734233","-46.636238503202634"
"1019","-23.551889908967603","-46.63105318887411"
"1027","-23.538015199549932","-46.631947411045076"
"1048","-23.546908131282798","-46.63939590146579"
"1046","-23.546081127035535","-46.64482029837157"
"1034","-23.542995562878023","-46.63757566934563"
"1035","-23.5439473297362","-46.63739650167344"
"1050","-23.54985418067981","-46.643139396906825"
"1047","-23.54731074271453","-46.64142302885344"
"1046","-23.546381972243076","-46.642893706619056"
"1045","-23.542487362746506","-46.64293486717402"
"1045","-23.542303065497162","-46.64280268887412"
"1011","-23.546690486964888","-46.635446958807194"
"1044","-23.547276880373964","-46.6399237790698"
"1007","-23.55100661977027","-46.6358718820474"
"1047","-23.54577819732822","-46.64064024216627"
"1029","-23.54056295337295","-46.632850401754254"
"1012","-23.54900820122337","-46.63452647668646"
"1019","-23.55166351540767","-46.63125415903973"
"1001","-23.55064182209015","-46.634409790322515"
"1037","-23.543883072998984","-46.63807493421437"
"1020","-23.552495528997667","-46.632059999999996"
"1041","-23.543712849558617","-46.6402632336835"
"1033","-23.54032130474925","-46.636394815973325"
"1050","-23.54985418067981","-46.643139396906825"
"1025","-23.539920936547933","-46.628347928793204"
"1004","-23.550115903139222","-46.63512161420169"
"1044","-23.544475407986656","-46.64244051581169"
"1050","-23.548723167349607","-46.64160299584504"
"1020","-23.552494470713864","-46.631394"
"1033","-23.536810801835053","-46.63572116276196"
"1026","-23.538895356079482","-46.63545499624909"
"1011","-23.546690486964888","-46.635446958807194"
"1032","-23.53657098695826","-46.6341731724855"
"1033","-23.536859249235395","-46.635793333342896"
"1030","-23.537239491257424","-46.63298206549715"
"1046","-23.546081127035535","-46.64482029837157"
"1009","-23.54693540437998","-46.63658792659698"
"1042","-23.54415075852622","-46.6412233941082"
"1046","-23.546081127035535","-46.64482029837157"
"1046","-23.545317917306143","-46.64397479626647"
"1023","-23.542602956979636","-46.630942836257084"
"1033","-23.540796722482114","-46.63647342862273"
"1046","-23.54549529358727","-46.64422479530947"
"1046","-23.545368575913177","-46.64318283002467"
"1036","-23.542828083530566","-46.63939930668248"
"1021","-23.54033745045876","-46.632073065497174"
"1049","-23.54530659310986","-46.636994571065735"
"1043","-23.545781968088136","-46.641376633648726"
"1003","-23.54904445268046","-46.63518261226844"
"1030","-23.54203523397196","-46.63296206411218"
"1025","-23.540410813203355","-46.631264935195325"
"1026","-23.539616057447088","-46.631187497778285"
"1021","-23.541832875382298","-46.63214268206478"
"1023","-23.541849922557606","-46.6313376895666"
"1050","-23.548722622251763","-46.64376241424774"
"1019","-23.55166351540767","-46.63125415903973"
"1014","-23.547082268784923","-46.63340844117833"
"1042","-23.54472059810152","-46.640515568959614"
"1009","-23.54693540437998","-46.63658792659698"
"1045","-23.54275397723474","-46.641482026083494"
"1036","-23.542828083530566","-46.63939930668248"
"1004","-23.549513091869112","-46.63471930613423"
"1035","-23.54043969776091","-46.64371578005073"
"1005","-23.549819091869107","-46.63560588995324"
"1044","-23.544689343874467","-46.6422237403486"
"1008","-23.5452611626464","-46.63554571412088"
"1037","-23.54519873979251","-46.63791575103784"
"1005","-23.548758390789974","-46.6384109454671"
"1032","-23.537019709129215","-46.63435857175824"
"1035","-23.5439473297362","-46.63739650167344"
"1017","-23.54981334999131","-46.63035027254893"
"1046","-23.545731279214017","-46.64319919124003"
"1014","-23.546065945322866","-46.63347449901905"
"1042","-23.545051649171974","-46.64007245239201"
"1046","-23.545106152086156","-46.64381018541167"
"1019","-23.551387491805688","-46.631432373708854"
"1046","-23.54639669248079","-46.643059340556235"
"1050","-23.549847516244395","-46.64562246058632"
"1029","-23.543769055769133","-46.63427784085132"
"1019","-23.551500510127546","-46.63131236649549"
"1013","-23.547686322234377","-46.6341397692307"
"1008","-23.5480135387212","-46.637097428385985"
"1001","-23.54969829946912","-46.63390859285005"
"1034","-23.541967016100166","-46.63707836441802"
"1025","-23.54002629316738","-46.62858942838324"
"1026","-23.53984025062037","-46.6302639919499"
"1038","-23.54474047293557","-46.641129228287795"
"1016","-23.548495128772636","-46.633490627676125"
"1048","-23.547634911449112","-46.641159240637045"
"1009","-23.54693540437998","-46.63658792659698"
"1047","-23.545879784349914","-46.640673717871785"
"1036","-23.540176426812717","-46.64415913591924"
"1003","-23.548960477927228","-46.63617216180967"
"1022","-23.544986605055076","-46.63345367485142"
"1030","-23.543326183738223","-46.63336425644875"
"1041","-23.543712849558617","-46.6402632336835"
"1032","-23.54137740605342","-46.63573484012354"
"1041","-23.543539449073783","-46.64057731057763"
"1046","-23.546252957116764","-46.64521736309942"
"1005","-23.54947149598929","-46.637403877748234"
"1014","-23.544631844566954","-46.63393720301238"
"1031","-23.542520789115148","-46.63533516134283"
"1018","-23.552143145161256","-46.63270720967747"
"1019","-23.551405529008704","-46.63058033341841"
"1007","-23.548166155735117","-46.63823833081751"
"1012","-23.54799237468981","-46.63463255343638"
"1042","-23.54415075852622","-46.6412233941082"
"1017","-23.54968991921072","-46.63051281086609"
"1033","-23.536810801835053","-46.63572116276196"
"1001","-23.551426655288804","-46.63407394670785"
"1046","-23.545606640313828","-46.64432448652557"
"1031","-23.542520789115148","-46.63533516134283"
"1028","-23.536027749379617","-46.632878533585306"
"1046","-23.546817419095163","-46.64537999999999"
"1046","-23.54675842186512","-46.64577102790114"
"1050","-23.548722622251763","-46.64376241424774"
"1030","-23.538418155981304","-46.63292012378098"
"1007","-23.549177399388316","-46.63863497209885"
"1026","-23.539425401610018","-46.63342428573489"
"1042","-23.544009031363597","-46.641499354982955"
"1020","-23.55223547100232","-46.6284406588955"
"1033","-23.540035348866123","-46.63590402178432"
"1040","-23.540384691932537","-46.63746629211154"
"1049","-23.547837310577627","-46.64099781196259"
"1011","-23.546690486964888","-46.635446958807194"
"1022","-23.544714739944567","-46.63316426588382"
"1046","-23.546081127035535","-46.64482029837157"
"1022","-23.54481763780367","-46.63327164210284"
"1020","-23.55255548932418","-46.630281525535224"
"1050","-23.548722622251763","-46.64376241424774"
"1006","-23.54909870413756","-46.63584104801203"
"1033","-23.53805926617227","-46.63596154951257"
"1046","-23.545368575913177","-46.64318283002467"
"1041","-23.54424217208146","-46.63966881349182"
"1034","-23.542106542327883","-46.63658202790115"
"1046","-23.54612896641469","-46.64295148361138"
"1047","-23.546273112412678","-46.64122516971552"
"1033","-23.53710682737027","-46.63578266997533"
"1036","-23.54045127670386","-46.64357021994927"
"1045","-23.541593762969626","-46.64189378810082"
"1046","-23.54612896641469","-46.64295148361138"
"1046","-23.546594577298162","-46.64303356647811"
"1030","-23.53652807216227","-46.633023105459124"
"1014","-23.545625699694156","-46.63354191520002"
"1046","-23.546081127035535","-46.64482029837157"
"1032","-23.54137740605342","-46.63573484012354"
"1027","-23.53821280045007","-46.631370614490145"
"1022","-23.544295438253737","-46.632081127531876"
"1028","-23.53624171663104","-46.6320595335853"
"1046","-23.546081127035535","-46.64482029837157"
"1006","-23.55069564418031","-46.63488479003406"
"1033","-23.53784452510254","-46.634192025535214"
"1048","-23.54718811601936","-46.639588390501515"
"1040","-23.54160305551385","-46.639215518870124"
"1046","-23.54575827921402","-46.64319019124005"
"1049","-23.545052507905847","-46.63682478157995"
"1048","-23.54718811601936","-46.639588390501515"
"1045","-23.542925000621707","-46.643423947383695"
"1026","-23.54001724395527","-46.629740913122546"
"1035","-23.541740936176268","-46.641356197760906"
"1049","-23.54797787399732","-46.64007553774023"
"1019","-23.552151883432384","-46.63080224715792"
"1035","-23.540983825979165","-46.64256855760085"
"1017","-23.54989795585446","-46.63094437636323"
"1050","-23.54922662225177","-46.64432041424772"
"1027","-23.538015199549932","-46.631947411045076"
"1019","-23.551500510127546","-46.63131236649549"
"1042","-23.545394591176624","-46.63971870122335"
"1029","-23.543769055769133","-46.63427784085132"
"1040","-23.539898074383967","-46.6366870320561"
"1046","-23.546081127035535","-46.64482029837157"
"1042","-23.544009031363597","-46.641499354982955"
"1041","-23.54320753981771","-46.64090617831388"
"1016","-23.54921843682667","-46.63112044738743"
"1042","-23.54504537246811","-46.640187927145234"
"1026","-23.53984025062037","-46.6302639919499"
"1026","-23.53925652899767","-46.63316199708581"
"1041","-23.54448286788048","-46.63930622647012"
"1046","-23.54612896641469","-46.64295148361138"
"1046","-23.545083855675458","-46.643162794333236"
"1033","-23.540035348866123","-46.63590402178432"
"1005","-23.54977002637195","-46.63583891548848"
"1041","-23.54349553981771","-46.640523678313876"
