holiday_at_shipping,approval_time_hours,handling_time_hours,purchase_hour,purchase_day_of_week,is_weekend,price,freight_value,product_weight_g,volume_cm3,distance_km,same_city,delivered_on_time,seller_geolocation_lat,seller_geolocation_lng,seller_total_rainfall_period_mm,seller_max_rain_intensity_mm_h,seller_max_wind_gust_period_ms,seller_interval_code,seller_rain_class_code,seller_wind_class_code,customer_geolocation_lat,customer_geolocation_lng,customer_total_rainfall_period_mm,customer_max_rain_intensity_mm_h,customer_max_wind_gust_period_ms,customer_interval_code,customer_rain_class_code,customer_wind_class_code,month,seller_accumulated_rainfall_3_days_mm,seller_is_heavy_rain,seller_is_strong_wind,customer_accumulated_rainfall_3_days_mm,customer_is_heavy_rain,customer_is_strong_wind,seller_meso_metropolitana_de_sao_paulo,seller_meso_araraquara,seller_meso_piracicaba,seller_meso_ribeirao_preto,seller_meso_sao_jose_do_rio_preto,seller_meso_campinas,seller_meso_vale_do_paraiba_paulista,seller_meso_macro_metropolitana_paulista,seller_meso_bauru,seller_meso_presidente_prudente,seller_meso_marilia,seller_meso_assis,seller_meso_aracatuba,seller_meso_litoral_sul_paulista,seller_meso_itapetininga,customer_meso_metropolitana_de_sao_paulo,customer_meso_piracicaba,customer_meso_campinas,customer_meso_vale_do_paraiba_paulista,customer_meso_ribeirao_preto,customer_meso_sao_jose_do_rio_preto,customer_meso_macro_metropolitana_paulista,customer_meso_bauru,customer_meso_araraquara,customer_meso_presidente_prudente,customer_meso_marilia,customer_meso_assis,customer_meso_aracatuba,customer_meso_itapetininga,customer_meso_litoral_sul_paulista
0,13.5,60.241,14,5,1,29.99,4.5,200,1344.0,137.562,0,1,-23.48333333,-46.61666666,0.0,0.0,7.5,3,0,4,-23.85138888,-48.16444444,0.0,0.0,9.6,3,0,5,1,0.0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,13.5,60.241,14,5,1,29.99,4.5,200,1344.0,137.562,0,1,-23.48333333,-46.61666666,0.0,0.0,7.5,3,0,4,-23.85138888,-48.16444444,0.0,0.0,9.6,3,0,5,1,0.0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,13.5,60.241,14,5,1,29.99,4.5,200,1344.0,137.562,0,1,-23.48333333,-46.61666666,0.0,0.0,7.5,3,0,4,-23.85138888,-48.16444444,0.0,0.0,9.6,3,0,5,1,0.0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,13.5,60.241,14,5,1,29.99,4.5,200,1344.0,137.562,0,1,-23.48333333,-46.61666666,0.0,0.0,7.5,3,0,4,-23.85138888,-48.16444444,0.0,0.0,9.6,3,0,5,1,0.0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,73.354,55.075,2,6,1,239.0,12.28,500,2704.0,81.367,0,1,-22.70277777,-47.62305554,0.0,0.0,7.5,2,0,4,-23.85138888,-48.16444444,0.0,0.0,5.5,3,0,4,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.165,283.204,16,3,0,30.97,10.96,443,4641.0,277.099,0,1,-21.33833333,-48.11388888,0.2,0.2,5.3,2,1,3,-23.85138888,-48.16444444,0.2,0.2,0.0,2,1,0,2,3.2,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,16.924,31.165,9,3,0,69.9,13.07,1200,18216.0,132.734,0,1,-23.48333333,-46.61666666,0.0,0.0,5.0,2,0,3,-23.85138888,-48.16444444,0.0,0.0,5.2,3,0,3,2,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.198,21.499,17,3,0,175.99,16.23,4100,12920.0,255.963,0,1,-21.85555555,-48.66666666,0.0,0.0,9.0,3,0,5,-23.85138888,-48.16444444,0.0,0.0,7.4,2,0,4,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.0,144.809,12,6,1,37.99,10.96,150,1520.0,158.073,0,1,-23.48333333,-46.61666666,2.0,2.0,6.8,3,1,4,-23.85138888,-48.16444444,0.0,0.0,8.3,3,0,5,3,2.0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.199,62.496,19,5,1,34.9,10.96,800,9000.0,163.299,0,1,-23.724501,-46.677501,0.0,0.0,4.7,2,0,3,-23.85138888,-48.16444444,0.0,0.0,8.6,3,0,5,3,0.0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,5.815,58.229,20,5,1,69.36,13.07,1400,27000.0,147.833,0,1,-22.415,-46.80527777,0.0,0.0,5.3,3,0,3,-23.85138888,-48.16444444,0.0,0.0,10.1,3,0,5,4,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.835,47.605,12,6,1,194.9,11.97,250,1936.0,81.909,0,1,-22.70277777,-47.62305554,0.0,0.0,7.7,3,0,4,-23.85138888,-48.16444444,0.0,0.0,10.1,3,0,5,4,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.188,4.145,12,2,0,139.9,12.37,500,4224.0,151.556,0,1,-23.724501,-46.677501,0.0,0.0,8.5,3,0,5,-23.85138888,-48.16444444,0.0,0.0,10.3,3,0,5,4,5.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.839,30.87,0,3,0,64.99,11.06,400,11250.0,144.862,0,1,-23.48333333,-46.61666666,0.0,0.0,7.3,2,0,4,-23.85138888,-48.16444444,0.0,0.0,10.3,3,0,5,4,1.2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.172,6.696,8,1,0,123.43,11.47,300,1936.0,138.697,0,1,-22.70277777,-47.62305554,0.0,0.0,7.4,3,0,4,-23.85138888,-48.16444444,0.0,0.0,6.7,3,0,4,4,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.688,129.133,23,2,0,101.0,13.29,2500,5400.0,180.597,0,1,-23.48333333,-46.61666666,0.2,0.2,4.3,2,1,3,-23.85138888,-48.16444444,0.0,0.0,6.7,3,0,4,4,0.2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.142,22.238,18,1,0,49.0,10.96,250,1512.0,198.577,0,1,-23.95194444,-46.53055554,0.0,0.0,4.5,3,0,3,-23.85138888,-48.16444444,0.0,0.0,5.6,3,0,4,5,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.177,90.118,14,5,1,69.9,11.1,700,8000.0,164.609,0,1,-23.48333333,-46.61666666,0.0,0.0,2.8,2,0,2,-23.85138888,-48.16444444,0.0,0.0,7.6,3,0,4,5,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.036,339.032,12,3,0,89.8,12.02,425,6396.0,311.38,0,0,-22.9486111,-49.89416666,0.0,0.0,6.2,3,0,4,-23.85138888,-48.16444444,0.0,0.0,6.1,2,0,4,5,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,29.215,12.329,22,2,0,69.9,12.83,800,23625.0,253.654,0,1,-21.85555555,-48.66666666,0.0,0.0,8.2,3,0,5,-23.85138888,-48.16444444,13.2,4.6,6.7,3,2,4,5,0.0,0,0,13.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.2,63.666,23,5,1,109.9,12.27,2000,23625.0,254.34,0,1,-21.85555555,-48.66666666,0.0,0.0,6.4,3,0,4,-23.85138888,-48.16444444,0.0,0.0,9.2,3,0,5,5,0.0,0,0,22.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.207,3.611,7,5,1,92.5,13.67,2963,47520.0,175.124,0,1,-23.95194444,-46.53055554,0.0,0.0,2.8,2,0,2,-23.85138888,-48.16444444,0.0,0.0,5.6,3,0,4,5,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.21,4.038,10,1,0,139.9,12.48,500,2760.0,177.184,0,1,-22.70277777,-47.62305554,0.2,0.2,5.8,3,1,4,-23.85138888,-48.16444444,0.0,0.0,5.6,3,0,4,5,0.2,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
